timestamp_ms,pixel_height,estimated_distance_cm,confidence
1752076316864,185,49.9459,0.91617
1752076316925,182,50.7692,0.922809
1752076316990,182,50.7692,0.918609
1752076317048,179,51.6201,0.919267
1752076317108,179,51.6201,0.927373
1752076317168,178,51.9101,0.926883
1752076317228,178,51.9101,0.927212
1752076317288,179,51.6201,0.925777
1752076317348,178,51.9101,0.929111
1752076317408,180,51.3333,0.929471
1752076317468,176,52.5,0.92925
1752076317528,175,52.8,0.930491
1752076317588,176,52.5,0.932186
1752076317648,177,52.2034,0.931503
1752076317708,180,51.3333,0.929302
1752076317768,182,50.7692,0.930794
1752076317828,185,49.9459,0.921705
1752076317888,191,48.377,0.931157
1752076317949,193,47.8756,0.924121
1752076318008,198,46.6667,0.923693
1752076318068,203,45.5172,0.922683
1752076318128,204,45.2941,0.912539
1752076318188,213,43.3803,0.912435
1752076318249,216,42.7778,0.918152
1752076318308,220,42,0.917529
1752076318368,220,42,0.923976
1752076318428,221,41.81,0.929322
1752076318488,221,41.81,0.932038
1752076318549,225,41.0667,0.933404
1752076318614,227,40.7048,0.924455
1752076318673,228,40.5263,0.925839
1752076318732,230,40.1739,0.92926
1752076318793,227,40.7048,0.920225
1752076318854,228,40.5263,0.915635
1752076318912,226,40.885,0.925529
1752076318973,226,40.885,0.915743
1752076319033,227,40.7048,0.929307
1752076319093,226,40.885,0.917936
1752076319153,226,40.885,0.929292
1752076319213,222,41.6216,0.915702
1752076319272,222,41.6216,0.928693
1752076319332,220,42,0.909985
1752076319396,222,41.6216,0.915717
1752076319453,223,41.435,0.918258
1752076319513,226,40.885,0.925625
1752076319573,229,40.3493,0.92638
1752076319633,226,40.885,0.918872
1752076319693,227,40.7048,0.913285
1752076319753,226,40.885,0.916928
1752076319813,227,40.7048,0.923337
1752076319873,228,40.5263,0.917132
1752076319933,232,39.8276,0.916656
1752076319993,234,39.4872,0.912976
1752076320053,237,38.9873,0.916196
1752076320113,237,38.9873,0.920795
1752076320173,235,39.3191,0.907469
1752076320238,225,41.0667,0.922057
1752076320297,218,42.3853,0.910566
1752076320357,214,43.1776,0.910313
1752076320417,216,42.7778,0.920705
1752076320477,215,42.9767,0.925853
1752076320537,212,43.5849,0.925664
1752076320597,211,43.7915,0.919002
1752076320657,210,44,0.913556
1752076320717,208,44.4231,0.91424
1752076320777,206,44.8544,0.917487
1752076320837,203,45.5172,0.908541
1752076320897,203,45.5172,0.910047
1752076320957,203,45.5172,0.91027
1752076321017,200,46.2,0.914535
1752076321077,203,45.5172,0.913903
1752076321137,206,44.8544,0.92145
1752076321197,205,45.0732,0.917086
1752076321257,205,45.0732,0.923439
1752076321317,204,45.2941,0.921802
1752076321379,203,45.5172,0.919831
1752076321437,203,45.5172,0.928816
1752076321497,203,45.5172,0.932145
1752076321557,203,45.5172,0.932321
1752076321617,198,46.6667,0.921081
1752076321677,199,46.4322,0.920904
1752076321737,202,45.7426,0.923656
1752076321797,208,44.4231,0.904989
1752076321862,209,44.2105,0.911721
1752076321921,208,44.4231,0.923207
1752076321981,209,44.2105,0.925314
1752076322041,209,44.2105,0.919313
1752076322101,206,44.8544,0.911527
1752076322161,211,43.7915,0.917161
1752076322221,209,44.2105,0.912128
1752076322281,209,44.2105,0.914243
1752076322341,204,45.2941,0.926971
1752076322401,204,45.2941,0.932559
1752076322461,202,45.7426,0.937913
1752076322521,202,45.7426,0.933669
1752076322581,200,46.2,0.936571
1752076322641,200,46.2,0.931091
1752076322701,199,46.4322,0.928314
1752076322761,199,46.4322,0.924503
1752076322821,199,46.4322,0.915311
1752076322881,200,46.2,0.917094
1752076322947,200,46.2,0.920305
1752076323000,199,46.4322,0.919448
1752076323061,200,46.2,0.918595
1752076323121,200,46.2,0.922582
1752076323181,201,45.9701,0.931503
1752076323241,202,45.7426,0.930638
1752076323301,201,45.9701,0.928128
1752076323361,201,45.9701,0.926092
1752076323421,202,45.7426,0.920147
1752076323486,202,45.7426,0.920041
1752076323544,203,45.5172,0.918796
1752076323605,203,45.5172,0.917577
1752076323665,201,45.9701,0.91212
1752076323725,202,45.7426,0.914552
1752076323785,201,45.9701,0.9154
1752076323845,200,46.2,0.918807
1752076323905,202,45.7426,0.912356
1752076323965,200,46.2,0.919261
1752076324025,199,46.4322,0.914928
1752076324085,198,46.6667,0.91967
1752076324145,198,46.6667,0.915414
1752076324205,195,47.3846,0.911669
1752076324265,191,48.377,0.916032
1752076324325,189,48.8889,0.915989
1752076324385,188,49.1489,0.913999
1752076324445,187,49.4118,0.909146
1752076324505,184,50.2174,0.912573
1752076324565,184,50.2174,0.910657
1752076324625,183,50.4918,0.914644
1752076324685,183,50.4918,0.921789
1752076324745,182,50.7692,0.932577
1752076324805,181,51.0497,0.93343
1752076324865,180,51.3333,0.932959
1752076324922,178,51.9101,0.924902
1752076324982,176,52.5,0.928849
1752076325045,175,52.8,0.926746
1752076325109,173,53.4104,0.925737
1752076325168,172,53.7209,0.925764
1752076325228,170,54.3529,0.92284
1752076325288,170,54.3529,0.915875
1752076325348,169,54.6746,0.916265
1752076325408,169,54.6746,0.9139
1752076325468,168,55,0.914178
1752076325529,169,54.6746,0.913491
1752076325589,167,55.3293,0.916348
1752076325649,169,54.6746,0.914455
1752076325709,167,55.3293,0.913111
1752076325769,170,54.3529,0.909474
1752076325829,170,54.3529,0.916566
1752076325886,169,54.6746,0.917281
1752076325946,171,54.0351,0.920855
1752076326006,174,53.1034,0.929123
1752076326066,179,51.6201,0.918637
1752076326126,179,51.6201,0.915801
1752076326186,184,50.2174,0.918182
1752076326246,188,49.1489,0.922538
1752076326306,191,48.377,0.914027
1752076326366,194,47.6289,0.919725
1752076326427,198,46.6667,0.915839
1752076326486,205,45.0732,0.922139
1752076326546,204,45.2941,0.928184
1752076326608,209,44.2105,0.913422
1752076326666,209,44.2105,0.924679
1752076326730,213,43.3803,0.916575
1752076326790,208,44.4231,0.915147
1752076326852,209,44.2105,0.907211
1752076326910,211,43.7915,0.913025
1752076326970,212,43.5849,0.911828
1752076327030,214,43.1776,0.916988
1752076327090,217,42.5806,0.922136
1752076327150,223,41.435,0.923379
1752076327210,225,41.0667,0.92671
1752076327270,221,41.81,0.927319
1752076327330,221,41.81,0.929512
